trial,mode,seed,cycles,burst_prob,burst_scale,drift_rate,noise_scale,shock_prob,shock_scale,admissions,denials,latch_events,first_latch_cycle,intervention_precision,resid_p95,resid_p99
8,raw_v2,63394,904,0.049302525142878695,2.4544034774635186,0.01974871837262934,0.09454793743084267,0.008434771185929887,5.243124429643579,141,763,763,0,0.0,1.16399359397046,1.373861680364474
8,scout_v2,63394,904,0.049302525142878695,2.4544034774635186,0.01974871837262934,0.09454793743084267,0.008434771185929887,5.243124429643579,142,762,762,0,0.57,0.8,0.8
9,raw_v2,71313,1572,0.026889843171904376,3.334864256937399,0.0039886409314206835,0.1961364459102592,0.010630221294849007,4.952977426554636,39,1533,1533,0,0.0,1.4221541136215192,2.0963793523356884
9,scout_v2,71313,1572,0.026889843171904376,3.334864256937399,0.0039886409314206835,0.1961364459102592,0.010630221294849007,4.952977426554636,40,1532,1532,0,0.16901408450704225,0.8,0.8
10,raw_v2,79232,1234,0.08711099313716576,2.3086007105827537,0.00232887816955103,0.08818595494294935,0.008989818773539899,4.049028615013182,197,1037,1037,0,0.0,1.1597738990395148,1.3638010453232052
10,scout_v2,79232,1234,0.08711099313716576,2.3086007105827537,0.00232887816955103,0.08818595494294935,0.008989818773539899,4.049028615013182,196,1038,1038,0,0.5255474452554745,0.8,0.8
11,raw_v2,87151,833,0.11322125836201698,2.155301638660766,0.015456822991617823,0.032316805185978584,0.006868221880668297,6.915189586012316,190,643,643,0,0.0,1.0353493409546675,1.0682458970229538
11,scout_v2,87151,833,0.11322125836201698,2.155301638660766,0.015456822991617823,0.032316805185978584,0.006868221880668297,6.915189586012316,189,644,644,0,0.48148148148148145,0.8,0.8
12,raw_v2,95070,1078,0.0139837268516214,3.109164399645781,0.01435853483261885,0.09349242123418111,0.01245699979843119,2.4246727948898084,167,911,911,0,0.0,1.1667495003204778,1.3223823897920428
12,scout_v2,95070,1078,0.0139837268516214,3.109164399645781,0.01435853483261885,0.09349242123418111,0.01245699979843119,2.4246727948898084,167,911,911,0,0.5535714285714286,0.8,0.8
13,raw_v2,102989,738,0.11228822544558233,3.1854680272649984,0.00011690998700975453,0.10318840286320054,0.019464699089502515,4.553454886278509,87,651,651,0,0.0,1.3315173055537033,1.7008437213369418
